EXP2 Big CPU only
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,B-G-L,2.43247,411.105,2.275
667000,500000,8,8,B-G-L,3.26488,306.29,2.42
1000000,500000,8,8,B-G-L,4.81892,207.515,2.65
1200000,500000,8,8,B-G-L,5.72229,174.755,2.878
1398000,500000,8,8,B-G-L,6.5507,152.656,3.15
1512000,500000,8,8,B-G-L,7.04473,141.95,3.31
1608000,500000,8,8,B-G-L,7.40575,135.03,3.41
1704000,500000,8,8,B-G-L,7.69799,129.904,3.49
1800000,500000,8,8,B-G-L,8.17701,122.294,3.57
1908000,500000,8,8,B-G-L,8.60763,116.176,3.72
2016000,500000,8,8,B-G-L,8.99691,111.149,3.94
2100000,500000,8,8,B-G-L,9.28386,107.714,4.29
2208000,500000,8,8,B-G-L,9.63873,103.748,5.12
