EXP3 GPU-only, CPU freq grid
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,G-B-L,9.23444,108.29,2.89
500000,1000000,8,8,G-B-L,9.51067,105.145,2.81
500000,1512000,8,8,G-B-L,9.1641,109.121,2.85
500000,1800000,8,8,G-B-L,9.33863,107.082,2.89
1000000,500000,8,8,G-B-L,10.5122,95.1274,2.88
1000000,1000000,8,8,G-B-L,10.7575,92.9584,2.91
1000000,1512000,8,8,G-B-L,10.5735,94.5758,2.95
1000000,1800000,8,8,G-B-L,10.5823,94.4972,3.01
1512000,500000,8,8,G-B-L,10.82,92.4219,2.95
1512000,1000000,8,8,G-B-L,10.9783,91.0885,2.98
1512000,1512000,8,8,G-B-L,10.9191,91.5823,3.03
1512000,1800000,8,8,G-B-L,10.9744,91.1212,3.08
1800000,500000,8,8,G-B-L,11.0904,90.1683,3.032
1800000,1000000,8,8,G-B-L,11.2689,88.7397,3.04
1800000,1512000,8,8,G-B-L,11.1263,89.8772,3.09
1800000,1800000,8,8,G-B-L,11.211,89.1982,3.11
2208000,500000,8,8,G-B-L,11.0987,90.1009,3.169
2208000,1000000,8,8,G-B-L,11.1232,89.9023,3.18
2208000,1512000,8,8,G-B-L,11.1678,89.5434,3.214
2208000,1800000,8,8,G-B-L,11.0802,90.2508,3.267
