EXP6 Frequency sweep, fixed order=G-B-L, pp1=3, pp2=6
big_freq,little_freq,pp1,pp2,order,fps,latency
500000,500000,3,6,G-B-L,3.24823,661.792
500000,667000,3,6,G-B-L,3.5225,613.656
500000,1000000,3,6,G-B-L,3.51817,613.471
500000,1200000,3,6,G-B-L,3.46234,622.894
500000,1398000,3,6,G-B-L,3.44141,626.783
500000,1512000,3,6,G-B-L,3.50788,615.681
500000,1608000,3,6,G-B-L,3.44517,626.001
500000,1704000,3,6,G-B-L,3.46337,622.891
500000,1800000,3,6,G-B-L,3.45038,625.405
667000,500000,3,6,G-B-L,5.33666,418.143
667000,667000,3,6,G-B-L,5.33866,417.309
667000,1000000,3,6,G-B-L,5.34324,416.674
667000,1200000,3,6,G-B-L,5.34267,416.88
667000,1398000,3,6,G-B-L,5.34059,417.051
667000,1512000,3,6,G-B-L,5.3406,416.888
667000,1608000,3,6,G-B-L,5.33726,416.93
667000,1704000,3,6,G-B-L,5.34448,416.613
667000,1800000,3,6,G-B-L,5.33482,417.066
1000000,500000,3,6,G-B-L,7.86701,295.47
1000000,667000,3,6,G-B-L,7.89348,293.398
1000000,1000000,3,6,G-B-L,7.89768,292.947
1000000,1200000,3,6,G-B-L,7.90584,292.455
1000000,1398000,3,6,G-B-L,7.90299,292.094
1000000,1512000,3,6,G-B-L,7.89803,291.74
1000000,1608000,3,6,G-B-L,7.91586,291.556
1000000,1704000,3,6,G-B-L,7.9131,291.752
1000000,1800000,3,6,G-B-L,7.90917,292.108
1200000,500000,3,6,G-B-L,9.2694,257.363
1200000,667000,3,6,G-B-L,9.34041,252.135
1200000,1000000,3,6,G-B-L,9.35211,251.163
1200000,1200000,3,6,G-B-L,9.36006,249.476
1200000,1398000,3,6,G-B-L,9.35646,250.085
1200000,1512000,3,6,G-B-L,9.35949,249.702
1200000,1608000,3,6,G-B-L,9.34795,249.499
1200000,1704000,3,6,G-B-L,9.37709,249.168
1200000,1800000,3,6,G-B-L,9.34098,249.754
1398000,500000,3,6,G-B-L,9.80761,238.786
1398000,667000,3,6,G-B-L,10.6617,225.901
1398000,1000000,3,6,G-B-L,10.6958,223.02
1398000,1200000,3,6,G-B-L,10.8623,220.244
1398000,1398000,3,6,G-B-L,10.7252,222.361
1398000,1512000,3,6,G-B-L,10.7057,222.427
1398000,1608000,3,6,G-B-L,10.7129,222.31
1398000,1704000,3,6,G-B-L,10.7259,222.047
1398000,1800000,3,6,G-B-L,10.7203,222.264
1512000,500000,3,6,G-B-L,9.75464,233.636
1512000,667000,3,6,G-B-L,11.3845,213.957
1512000,1000000,3,6,G-B-L,11.4474,210.994
1512000,1200000,3,6,G-B-L,11.4611,210.205
1512000,1398000,3,6,G-B-L,11.4584,210.553
1512000,1512000,3,6,G-B-L,11.4409,210.541
1512000,1608000,3,6,G-B-L,11.4208,210.598
1512000,1704000,3,6,G-B-L,11.4411,210.492
1512000,1800000,3,6,G-B-L,11.4523,210.511
1608000,500000,3,6,G-B-L,9.86131,228.353
1608000,667000,3,6,G-B-L,11.9945,205.981
1608000,1000000,3,6,G-B-L,12.0608,202.064
1608000,1200000,3,6,G-B-L,12.0724,201.222
1608000,1398000,3,6,G-B-L,12.0602,201.565
1608000,1512000,3,6,G-B-L,12.034,202.172
1608000,1608000,3,6,G-B-L,12.0509,201.491
1608000,1704000,3,6,G-B-L,12.0419,201.594
1608000,1800000,3,6,G-B-L,12.0314,201.564
1704000,500000,3,6,G-B-L,9.76788,226.45
1704000,667000,3,6,G-B-L,12.5602,198.543
1704000,1000000,3,6,G-B-L,12.6057,195.241
1704000,1200000,3,6,G-B-L,12.6434,194.028
1704000,1398000,3,6,G-B-L,12.6721,193.593
1704000,1512000,3,6,G-B-L,12.6736,193.502
1704000,1608000,3,6,G-B-L,12.6505,193.294
1704000,1704000,3,6,G-B-L,12.6372,193.508
1704000,1800000,3,6,G-B-L,12.6256,193.918
1800000,500000,3,6,G-B-L,9.80575,222.97
1800000,667000,3,6,G-B-L,12.6836,195.63
1800000,1000000,3,6,G-B-L,13.1948,187.913
1800000,1200000,3,6,G-B-L,13.2158,187.396
1800000,1398000,3,6,G-B-L,13.213,187.203
1800000,1512000,3,6,G-B-L,13.2194,186.975
1800000,1608000,3,6,G-B-L,13.1961,187.195
1800000,1704000,3,6,G-B-L,13.2423,186.555
1800000,1800000,3,6,G-B-L,13.2233,186.871
1908000,500000,3,6,G-B-L,9.79497,220.25
1908000,667000,3,6,G-B-L,12.6333,192.05
1908000,1000000,3,6,G-B-L,13.7952,181.687
1908000,1200000,3,6,G-B-L,13.7971,181.176
1908000,1398000,3,6,G-B-L,13.8229,180.121
1908000,1512000,3,6,G-B-L,13.828,180.153
1908000,1608000,3,6,G-B-L,13.8714,179.954
1908000,1704000,3,6,G-B-L,13.8279,180.098
1908000,1800000,3,6,G-B-L,13.8197,180.443
2016000,500000,3,6,G-B-L,9.82541,217.214
2016000,667000,3,6,G-B-L,12.6776,188.53
2016000,1000000,3,6,G-B-L,14.3871,175.857
2016000,1200000,3,6,G-B-L,14.3956,175.567
2016000,1398000,3,6,G-B-L,14.4451,174.561
2016000,1512000,3,6,G-B-L,14.4164,175.088
2016000,1608000,3,6,G-B-L,14.4156,174.453
2016000,1704000,3,6,G-B-L,14.3856,175.005
2016000,1800000,3,6,G-B-L,14.4459,174.065
2100000,500000,3,6,G-B-L,9.79506,216.248
2100000,667000,3,6,G-B-L,12.6996,186.684
2100000,1000000,3,6,G-B-L,14.8016,171.453
2100000,1200000,3,6,G-B-L,14.8561,170.726
2100000,1398000,3,6,G-B-L,14.8084,171.223
2100000,1512000,3,6,G-B-L,14.8574,170.534
2100000,1608000,3,6,G-B-L,14.8424,170.535
2100000,1704000,3,6,G-B-L,14.8149,170.602
2100000,1800000,3,6,G-B-L,14.8576,170.466
2208000,500000,3,6,G-B-L,9.67589,216.02
2208000,667000,3,6,G-B-L,12.5965,184.883
2208000,1000000,3,6,G-B-L,15.3294,168.05
2208000,1200000,3,6,G-B-L,15.3709,166.514
2208000,1398000,3,6,G-B-L,15.3865,166.117
2208000,1512000,3,6,G-B-L,15.387,165.864
2208000,1608000,3,6,G-B-L,15.3908,165.891
2208000,1704000,3,6,G-B-L,15.4196,165.451
2208000,1800000,3,6,G-B-L,15.3824,165.687
